123	24	287
130	32	345
138	41	403
147	51	461
157	62	520
168	72	578
179	83	636
191	94	695
203	105	753
216	116	812
229	127	870
242	138	928
115	66	7
116	66	59
118	68	114
121	70	172
125	73	229
130	77	287
137	81	345
145	87	404
153	93	462
163	100	520
173	107	578
184	115	637
195	123	695
207	132	753
220	141	812
233	150	870
246	160	928
128	125	16
129	126	65
131	126	118
134	128	174
137	130	231
142	132	289
148	135	347
155	138	405
163	142	463
172	147	521
182	152	579
192	158	637
203	164	696
215	171	754
227	177	812
239	185	870
252	192	929
147	186	29
148	187	74
150	187	124
152	188	178
155	189	234
160	191	291
165	193	348
171	195	406
179	198	464
187	201	522
196	205	580
205	209	638
216	214	696
226	219	755
238	224	813
250	230	871
262	236	929
171	248	49
172	248	86
173	249	132
175	249	184
178	250	238
182	251	294
187	253	351
192	255	408
199	257	466
206	259	524
214	262	581
223	265	639
232	269	697
242	273	756
253	277	814
264	281	872
275	286	930
198	310	69
199	310	101
200	310	142
202	311	191
204	312	244
207	313	299
212	314	354
216	315	411
222	317	468
229	319	526
236	321	583
244	323	641
252	326	699
261	329	757
271	333	815
281	336	873
292	340	931
228	372	90
228	372	116
229	372	153
231	373	199
233	373	250
236	374	304
239	375	359
244	376	415
249	377	471
254	379	528
261	381	586
268	383	643
275	385	701
284	388	759
293	390	816
302	393	874
312	397	932
259	434	110
259	434	133
260	434	167
262	435	210
263	435	258
266	436	310
269	437	364
273	437	419
277	439	475
282	440	532
288	441	589
294	443	646
301	445	703
309	447	761
317	449	818
325	452	876
334	455	934
291	496	131
292	496	151
292	496	181
294	497	221
295	497	267
297	498	318
300	498	370
303	499	424
307	500	480
312	501	535
317	502	592
322	504	649
329	506	706
335	507	763
343	509	821
351	511	878
359	514	936
325	558	152
325	558	169
325	559	197
326	559	234
328	559	278
330	560	326
332	560	377
335	561	430
339	562	485
343	563	540
347	564	596
352	565	652
358	566	709
364	568	766
371	570	823
378	572	880
385	574	938
358	621	173
359	621	188
359	621	213
360	621	247
361	621	289
363	622	335
365	622	385
368	623	437
371	623	491
375	624	545
379	625	600
383	626	656
388	628	713
394	629	769
400	630	826
406	632	883
413	634	941
393	683	194
393	683	208
393	683	230
394	683	262
395	683	301
397	684	346
399	684	394
401	685	445
404	685	497
407	686	551
411	687	605
415	688	661
420	689	717
425	690	773
430	692	829
436	693	886
442	695	943
427	745	215
428	745	227
428	745	248
429	745	277
430	746	314
431	746	357
433	746	404
435	747	453
438	747	504
440	748	557
444	749	611
448	750	666
452	751	721
456	752	777
461	753	833
467	754	890
473	756	947
462	807	236
463	807	247
463	807	266
464	807	293
465	808	328
466	808	369
467	808	414
469	809	462
472	809	512
474	810	564
477	811	617
481	811	671
485	812	726
489	813	782
493	814	837
498	815	894
504	817	950
497	869	257
498	869	267
498	870	284
499	870	310
499	870	343
501	870	382
502	870	425
504	871	472
506	871	521
508	872	572
511	872	624
514	873	678
518	874	732
522	875	787
526	876	842
531	877	898
536	878	954
533	932	278
533	932	287
533	932	303
534	932	327
535	932	358
536	932	395
537	933	437
539	933	482
541	933	530
543	934	580
545	934	632
548	935	684
552	936	738
555	937	792
559	937	847
563	938	902
568	940	958
568	994	299
568	994	307
569	994	322
569	994	345
570	994	374
571	994	409
572	995	449
574	995	493
575	995	540
578	996	589
580	996	639
583	997	691
586	998	744
589	998	798
593	999	852
597	1000	907
601	1001	963
164	16	6
165	17	57
166	19	114
168	22	171
171	26	229
175	32	287
180	40	345
186	49	403
192	58	462
200	68	520
208	78	578
217	88	637
227	98	695
237	109	753
248	119	812
259	130	870
271	141	928
169	71	10
170	72	61
171	73	116
173	75	172
176	78	230
180	82	288
185	86	346
191	91	404
197	97	462
204	104	520
212	111	579
221	119	637
231	127	695
241	135	754
251	144	812
263	153	870
274	162	929
179	129	19
179	129	67
180	130	119
182	131	175
185	133	232
189	135	289
193	138	347
199	141	405
205	145	463
212	150	521
220	155	579
228	160	637
237	167	696
247	173	754
258	180	812
268	187	871
280	195	929
193	189	32
193	189	76
194	189	125
196	190	179
199	191	235
202	193	291
206	195	349
211	197	406
217	200	464
224	204	522
231	207	580
239	211	638
248	216	697
257	221	755
267	226	813
277	232	871
288	238	929
211	250	51
212	250	88
213	250	133
214	251	184
217	252	239
220	253	295
224	254	351
228	256	409
234	258	466
240	261	524
246	264	582
254	267	640
262	270	698
271	274	756
280	278	814
290	283	872
300	288	930
233	311	71
234	311	102
235	312	143
236	312	192
238	313	244
241	314	299
244	315	355
249	316	411
254	318	469
259	320	526
265	322	583
272	325	641
280	327	699
288	330	757
297	334	815
306	337	873
316	341	931
258	373	91
259	373	118
260	373	154
261	374	200
263	374	251
265	375	304
268	376	359
272	377	415
277	378	472
282	380	529
287	382	586
294	384	643
301	386	701
308	389	759
316	391	817
325	394	875
334	398	933
286	435	112
286	435	134
287	435	167
288	436	210
290	436	259
292	437	311
295	437	364
298	438	420
302	439	475
307	441	532
312	442	589
318	444	646
324	446	703
331	448	761
338	450	818
346	453	876
355	456	934
315	497	132
315	497	152
316	497	182
317	497	222
319	498	268
321	498	318
323	499	371
326	500	425
330	501	480
334	502	536
338	503	592
